month,day,year,date,days,deaths,tsp,temp
1,1,1980,01jan1980,2192,46,60,34.25
1,2,1980,02jan1980,2193,48,57.5,33.75
1,3,1980,03jan1980,2194,55,48.5,34.75
1,4,1980,04jan1980,2195,51,59.599998,27
1,5,1980,05jan1980,2196,50,46,27.5
1,6,1980,06jan1980,2197,54,66.5,24.75
1,7,1980,07jan1980,2198,59,72,31
1,8,1980,08jan1980,2199,42,74,32.5
1,9,1980,09jan1980,2200,51,70.5,28.5
1,10,1980,10jan1980,2201,45,82.129997,24.25
1,11,1980,11jan1980,2202,52,70,41
1,12,1980,12jan1980,2203,46,59,37.75
1,13,1980,13jan1980,2204,34,46,27.25
1,14,1980,14jan1980,2205,51,80,41.75
1,15,1980,15jan1980,2206,50,46,48.25
1,16,1980,16jan1980,2207,42,62.27,41.25
1,17,1980,17jan1980,2208,42,78,36.75
1,18,1980,18jan1980,2209,61,75.5,38
1,19,1980,19jan1980,2210,55,56.5,40
1,20,1980,20jan1980,2211,41,36,36
1,21,1980,21jan1980,2212,49,45,31.5
1,22,1980,22jan1980,2213,59,76.129997,33.75
1,23,1980,23jan1980,2214,53,60.5,36.5
1,24,1980,24jan1980,2215,41,55,22.5
1,25,1980,25jan1980,2216,51,109,26.25
1,26,1980,26jan1980,2217,43,55,29.5
1,27,1980,27jan1980,2218,49,42,27.5
1,28,1980,28jan1980,2219,57,76.07,31.25
1,29,1980,29jan1980,2220,40,64,28.25
1,30,1980,30jan1980,2221,51,54,21.25
1,31,1980,31jan1980,2222,69,43,21.5
2,1,1980,01feb1980,2223,44,60.5,18
2,2,1980,02feb1980,2224,46,58,19.25
2,3,1980,03feb1980,2225,62,44.380001,20.75
2,4,1980,04feb1980,2226,61,74,24.25
2,5,1980,05feb1980,2227,55,69,25.25
2,6,1980,06feb1980,2228,39,77,23.25
2,7,1980,07feb1980,2229,49,80,29.5
2,8,1980,08feb1980,2230,57,61.5,30.5
2,9,1980,09feb1980,2231,53,78.629997,27.75
2,10,1980,10feb1980,2232,48,52,27.5
2,11,1980,11feb1980,2233,66,36,28
2,12,1980,12feb1980,2234,42,64,28.75
2,13,1980,13feb1980,2235,57,59,27.25
2,14,1980,14feb1980,2236,55,67.5,34.75
2,15,1980,15feb1980,2237,55,83.379997,34.25
2,16,1980,16feb1980,2238,53,52,33.75
2,17,1980,17feb1980,2239,45,38,25.25
2,18,1980,18feb1980,2240,60,52,25.5
2,19,1980,19feb1980,2241,49,62,33.25
2,20,1980,20feb1980,2242,55,100.5,36.75
2,21,1980,21feb1980,2243,69,95.800003,44.75
2,22,1980,22feb1980,2244,35,81,38.5
2,23,1980,23feb1980,2245,60,79,43.75
2,24,1980,24feb1980,2246,63,52,44.5
2,25,1980,25feb1980,2247,54,29,36.75
2,26,1980,26feb1980,2248,60,48,29.5
2,27,1980,27feb1980,2249,58,56.689999,29.5
2,28,1980,28feb1980,2250,53,66.5,25.5
2,29,1980,29feb1980,2251,54,79,18.5
3,1,1980,01mar1980,2252,65,37,15
